text,label
lorenzo var paa pletten før den sidste lyd af hendes klokkestemme havde tabt sig,0
ikke sættes av »,1
„ aldeles ikke “ svarede denne „ men lad os saa spille “,0
at hun rejste sig hurtigt — den gang onkelen kom ind — men der var over hendes bevægelse en graties aabenbaring en afsløring som et lyn slog det ned i ham at der i hendes væsen var en magt der kunde tage hendes legeme fangen saa det lyste af ynde,0
og om aftenen naar hun træt af sit dagværk af at sy klæder for fattige og besøge fattige kom op paa sit lille kammer hvilede de trætte arme paa vinduskarmen og lænede sig ud lyttende til støjen og tumlen fra den travle by hørte hammerslagene i,1
— min kone har meddelt mig det nærmere,0
„ mig synes egentlig ikke de ligner nogen af dem “,0
„ de maae forklare mig hvad der fører dem til en saadan time her i parken hvad ønsker de hvad vil de “,0
„ hagnhild “ så odd midt i stilheden derinde de hadde alle 4 siddet lang tid uden at vexle et eneste ord „ vil di gjøre det jeg ber dem om “,0
„ er de fra landet “,0
kun nede paa en af de nederste bænke sad der en fire fem stykker og gjorde sig bemærkede en klike fra randers eller horsens støjende personer hvis forcerede lystighed skurrede og irriterede,1
det lød for povls ører ganske som om den sang,0
ved en drejning af vejen stødte de paa et ungt menneske der hilsede meget høfligt jansen hilste igjen ingeborg syntes at skulle kjende den unge mand og fru jansen spurgte,0
han sprang op og gav sig til at le „ forstaar du ikke endnu at inden du faar brændt den første brænding er vi ude af kaarupgaard “,0
overalt var mennesker paa færde nogle søgte ligene af deres omkomne frænder andre søgte guld og sølv og der opstod heftig tvist om begge dele,0
men forgjæves,0
tumba gned sig i hænderne,0
frits günther flap sit tag og saae sig hurfig om,0
„ nej ærligt talt hun er et landbarn og holder ikke af de store byers støv og støj “,1
at snakke godt dansk med » brot karl « svenskerne bleve viste tilbage med brodne pander og fra denne dag af vendte lykken kong karl ryggen —,0
de første var daglønnerne som sendrægtigt fik aabnet laagerne i plankeværkerne og fik alle redskaber sanket sammen men snart kom der fler hele flokke der vekslede muntre hilsener murerne skiftede tøj og kom til vejrs op ad alle stiger og brolæggerne tog fat paa den bare jord og hamrede,1
berg blev svimmel naar han saa derned hvor stilladserne groede op af mørket paa svære ben og spredte sig i hele rummet lige op til kuplen hvor lugerne lo mod dagen én kæmpekrop hvor alting sang og virkede højst oppe hang malerne som fluer under loftet og trallede i kor » kyssenes sang « ned over støjen,1
det er da sandt hviskede adele sønderknust og foldede hænderne jeg har da vished,0
aldrig havde man dog endnu vovet af byde ham sligt,0
— kom mit smukke lille barn kom nu skal du give mig et kys,0
hos os vi skal gaa sammen vi tre baade de og aagot og jeg vi tre gamle bekendte «,0
jeg synes unge piger skulde være som hun mikal,0
noget spurgte jeg,0
„ bare du ikke flytter saa — “,0
» var det dem hun hilste paa «,0
ebbesen er alene,0
fog sig en snaps og gav sig atter i færd med sin skinke,0
huset hørte anders nogen spille klaver og fra nørregade kom lyden af sporvogne der nærmede sig kørte forbi og blev borte — en stigende og svindende lyd regelmæssig som et bølgeslag,1
oppe i kirken var der en støj og et hurlum hej som ved et rigtig muntert gilde gran og blomster laa dænget omkring paa gulv og bænke konfirmanderne lo og plaprede i munden paa hverandre og mer end ét lille trættemaal opstod om hvordan pynten skulde anbringes,1
— deres naadige frøken er ikke arriveret endnu,0
„ det faaer vi selv at sørge for “ ytrede touranjon „ vi to mødes vist igjen hr zevaco det aner mig “,0
i drabantsalen mellem kongens og dronningens værelser gik et par gardister tavse som skygger frem og tilbage der var saa stille naar deres fodtrin standsede at man kunde have hørt en naal falde til jorden men saa hørtes der pludselig en dæmpet lyd — en mand indhyllet i en kappe,1
udenfor standsede han et øjeblik og lyttede ingen lyd hørtes derinde uden et barns klynken ikke den dermed sædvanlig forbundne tyssen eller nynnen ejheller rørtes vuggen — og ingen steds derinde fra hørtes nogen lyd der kunde tyde paa at helene var der,1
en boblende lyd kom nede fra hans bryst forbud for en ny blodstrøm,0
„ det har du alene at bestemme,0
en ny rullende lyd i de øvre luftlag bragte hende til at gaa videre,0
da han lidt efter vilde gaa faldt det ham ind under trykket af ønsket om at gjøre noget for de to forladte damer at spørge „ om de ikke vilde komme ud og setil huset en dag naar det blev solskin “,0
hverdagens færdsel og liv dens larm og tummel var forstummet og medens solens fulde lys faldt ned ide nysfeiede gader saaes kun hist og her enkelte pyntede herrer og damer eller en flok bo rn som i en gadcdor viste og beundrede hinandens søndagsstads,1
hans øjne funklede af vild glæde,0
her var det altsaa her fandt de ham da slaget var endt endnu pegende paa sit » dannebroge « med den henstrakte stivfrosne haand,0
folk strømmede ud gennem gangen snakkende ned ad trapperne ind i restauranten der var fyldt i et nu kellnerne værgede de bestilte borde og damerne med deres kniplingstørklæder om hovederne lo i stimlen der skubbede dem viljeløst frem mellem stolene som herrerne sloges om,1
„ ja “ svarede marie „ men desværre maa jeg sige dig at min pligt byder mig ikke at blive hos dig “,0
christian fortalte nu hele historien,0
søen bølgede saa sagte og blidt som om den aldrig havde tænkt paa at reise fig i hele sin frygtelige majestæt,0
nora havde lukket øjnene det var saa velgørende at høre denne kære beroligende stemme saa tæt ved sig,0
» nej — aldrig «,0
skikkelsen der sad med hovedet skjult i sine hænder saae op,0
« er det knub bi lidt » han forsvandt et øjeblik fra vinduet men kom strax igjen og raabte « luk dig selv ind » hvorpaa en slangeagtig gjenstand faldt ned for kristians fod med en dump lyd paa sneen,1
en lille kjælderklokke et vindue der blev smækket til tre fire gange i rad inden det blev lukket endelig borte i den fjærneste del af gaden fodtrin og lyd af tale ofte afbrudt af en lydelig og skrattende kvindelatter,1
„ jeg har holdt mig hjemme kjære tante fordi jeg havde en bestemt følelse af at vi vilde blive overraskede af et behageligt besøg “,0
— hvor er hun køn i ansigtet sagde hun frøken koch vendte sig med sit tomme glas,0
det begynder at myldre af folk og vogne med smaa mellemrum piber det saa ved fabrikerne i byens udkanter saa nede ved jærnbanestationerne færdselen biir større og større travle mennesker svirrer hid og did enkelte ædende af deres frokost som de holder i haanden indsvøbt i en avis,1
» naa — det var vist ikke saa uoverlagt endda — hun véd ganske godt hvad hun selvsiger «,0
